10,9,14,8,15,2,1,6,11,3,4,30,32,12,20,7,16,35,33,22,37,18,23,19,26,28,27,5,25,13,40,24,17,21,29,34,31,39,38,36
9,16,2,14,5,3,4,22,11,19,7,1,12,6,35,23,10,25,17,13,28,29,20,31,8,24,15,26,38,39,34,37,27,21,18,36,33,40,30,32
17,4,2,28,19,5,22,29,1,13,9,36,3,12,14,21,7,31,25,34,30,24,27,33,26,18,38,37,6,39,15,23,8,10,35,20,16,32,11,40
5,1,35,24,3,2,21,8,26,23,14,10,28,18,34,11,25,9,20,6,4,7,15,27,12,37,33,22,13,19,38,16,32,17,40,36,29,30,31,39
20,19,4,16,10,17,23,3,8,25,1,13,9,18,11,35,31,12,2,27,15,22,30,5,32,26,33,7,6,24,40,28,29,34,36,21,37,14,38,39
1,19,7,5,12,3,15,2,21,17,25,20,6,10,38,18,28,4,11,23,22,30,9,13,8,16,32,34,39,26,27,31,24,37,14,29,36,33,40,35
3,8,12,9,4,35,1,30,38,27,10,28,6,14,2,7,18,13,24,11,26,21,25,5,17,15,36,31,32,29,33,34,23,37,16,20,22,19,40,39
7,1,17,10,37,2,3,8,9,19,15,11,16,6,22,12,21,18,5,20,23,34,4,29,27,32,36,14,33,40,25,28,39,26,13,31,24,30,35,38
9,4,8,6,18,2,21,10,27,12,1,20,24,29,32,19,34,3,14,30,11,7,15,28,23,25,22,39,5,26,13,36,17,37,31,40,33,16,35,38
25,29,18,3,2,5,10,8,12,14,6,13,15,23,4,7,22,11,19,26,1,24,30,9,36,27,37,16,35,17,34,21,28,39,31,33,40,38,20,32
3,1,4,35,12,7,9,18,6,16,5,2,21,8,11,15,26,10,29,20,14,17,28,23,19,13,24,25,38,31,34,40,32,37,27,22,36,39,30,33
3,14,5,8,6,4,2,7,10,13,9,18,15,19,29,25,11,20,21,24,27,36,23,33,16,26,40,31,28,22,1,39,32,38,12,30,35,37,17,34
9,2,15,20,4,5,16,8,36,13,11,7,6,28,10,34,31,22,18,12,26,39,24,21,17,32,30,29,25,19,27,38,33,23,35,1,14,37,40,3
6,13,1,5,15,2,10,7,4,20,3,12,8,9,32,16,26,19,23,11,28,29,24,30,17,18,14,34,25,21,22,27,39,36,38,31,33,37,40,35
10,15,14,2,5,17,7,1,21,25,20,6,28,36,16,4,31,18,24,8,26,13,3,9,12,27,23,33,11,38,29,34,19,22,30,40,32,39,35,37
7,1,11,18,14,12,8,20,3,9,16,19,23,10,6,22,27,30,36,2,33,35,15,17,21,39,13,28,29,4,37,26,38,31,32,25,24,5,40,34
21,6,16,5,8,7,4,9,15,2,23,29,3,13,24,27,10,19,17,35,40,36,28,22,32,20,12,31,1,30,39,14,33,11,25,37,18,38,26,34
3,13,10,12,2,34,6,4,28,20,7,14,9,26,5,23,16,40,27,1,25,8,24,18,17,32,11,38,33,15,37,21,30,19,36,22,39,31,29,35
30,4,12,1,32,7,6,25,29,20,33,2,35,3,8,18,24,19,22,16,11,34,39,10,5,23,14,28,15,36,38,9,26,31,40,21,37,13,17,27
13,4,10,7,2,22,19,3,9,12,11,1,8,20,5,32,14,27,25,23,17,6,34,15,29,16,24,31,28,18,30,36,26,40,38,21,33,35,39,37

