10,19,18,24,8,9,38,31,4,12,17,3,25,26,36,20,5,13,7,33,32,28,6,1,23,37,22,30,29,15,39,27,35,34,11,21,16,2,40,14
17,20,15,25,26,30,28,11,22,21,39,19,33,35,40,27,6,18,10,4,36,8,29,12,2,23,13,34,37,3,38,16,24,32,9,31,14,5,1,7
1,12,7,15,16,4,18,25,2,11,31,39,19,26,24,30,13,38,20,29,37,8,5,40,17,6,23,10,32,27,21,33,14,9,35,34,3,28,22,36
18,27,10,14,2,5,6,39,40,16,36,38,19,29,20,37,31,30,17,32,26,12,34,11,4,15,25,35,13,22,24,1,21,9,33,28,3,8,23,7
11,20,2,9,30,31,4,16,29,33,5,37,39,32,8,17,14,21,34,23,12,36,6,40,27,19,26,35,13,38,7,3,25,24,28,18,15,1,22,10
28,1,31,13,21,2,12,33,19,34,23,40,3,24,36,26,20,15,32,25,37,5,14,39,9,18,4,11,22,35,17,38,27,29,7,6,16,30,8,10
10,1,39,12,40,33,23,35,11,7,34,21,13,37,5,4,24,32,14,16,31,19,27,6,3,18,17,29,20,28,15,22,36,2,9,25,30,38,26,8
26,34,6,20,33,17,31,9,3,22,32,15,38,18,4,30,10,1,24,25,16,39,7,12,23,14,5,27,8,29,19,40,21,37,35,2,28,13,36,11
6,27,17,30,12,40,35,7,33,16,29,4,5,22,3,1,8,24,37,23,25,11,2,14,18,39,10,20,9,32,38,36,34,13,28,31,21,19,26,15
22,26,6,4,17,14,39,3,15,8,5,11,16,28,29,9,27,24,25,23,13,1,19,18,35,36,10,30,12,7,37,40,32,38,21,2,31,20,34,33
32,22,36,28,17,13,38,31,30,12,24,2,33,26,23,1,6,8,4,25,37,35,11,14,9,29,18,34,21,20,3,40,10,7,19,5,39,16,15,27
2,5,14,7,6,36,11,23,28,29,35,9,21,1,39,12,24,34,30,40,13,15,26,27,16,38,25,32,18,3,37,10,33,20,31,19,4,22,17,8
9,1,32,40,13,29,11,31,18,37,15,35,30,19,28,34,22,17,24,39,38,12,27,10,4,23,6,7,2,25,26,16,36,3,5,20,14,8,21,33
23,39,30,11,35,21,24,18,22,25,1,15,6,27,12,16,5,37,28,2,9,33,3,17,8,34,19,26,40,31,14,29,20,7,36,13,32,4,10,38
7,39,9,6,25,8,12,17,10,19,22,18,4,13,16,34,24,35,11,14,37,28,1,5,40,29,30,3,26,23,33,21,2,15,36,38,31,20,27,32
11,16,8,17,7,20,21,30,12,40,23,25,26,3,29,36,35,14,9,34,32,27,15,10,31,37,2,33,28,5,1,6,4,39,13,24,22,18,38,19
37,39,9,26,40,6,36,30,25,15,13,21,38,10,7,19,20,3,27,23,22,14,16,32,28,35,18,24,8,31,1,12,2,4,33,5,11,34,17,29
40,6,34,23,15,26,39,5,9,21,28,11,13,2,33,30,14,4,25,37,8,7,1,10,36,3,29,16,19,22,35,24,17,18,27,12,31,32,38,20
36,28,32,9,39,7,1,6,17,3,34,18,16,19,2,13,20,30,26,8,38,35,27,10,4,40,15,11,33,37,25,14,12,22,29,5,31,23,21,24
8,4,26,19,12,20,29,28,6,10,14,21,35,32,5,34,25,36,3,23,31,15,1,18,22,27,7,38,33,39,2,13,40,9,37,17,24,11,30,16

